OBJECTID,DATE_,TIME,SEVERITY,SEVERITY_DESCRIPTION,ACCIDENT_TYPE,ACCIDENT_DESCRIPTION,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,X,Y,RENDER
7910,2023/07/09 23:00:00+00,1250,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358671,173104,A
7911,2023/07/13 23:00:00+00,0700,3,Slight,J,Turning movement – unidentified priority,2,1,0,0,0,0,0,359698,171459,CARS
7912,2023/07/26 23:00:00+00,2034,3,Slight,NONE,Other,2,1,0,0,1,0,0,359450,177311,MCYC
7913,2023/07/28 23:00:00+00,0110,3,Slight,NONE,Other,2,1,0,0,0,0,0,358858,173084,CARS
7914,2023/07/27 23:00:00+00,2034,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,360976,173776,CARS
7915,2023/07/07 23:00:00+00,1440,2,Serious,J,Turning movement – unidentified priority,2,1,0,0,0,0,0,358176,173883,CARS
7916,2023/08/06 23:00:00+00,1400,3,Slight,E,Elderly pedestrian,1,1,1,1,0,0,1,359156,170981,E
7917,2023/08/08 23:00:00+00,0955,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,360842,172566,CARS
7918,2023/08/13 23:00:00+00,1355,3,Slight,NONE,Other,2,1,0,0,0,0,0,358668,176326,CARS
7919,2023/07/07 23:00:00+00,1753,3,Slight,J2,Turning Movement from minor road,2,6,0,0,0,2,3,355071,176923,CARS
7920,2023/07/13 23:00:00+00,1359,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,360013,171544,CYC
7921,2023/08/15 23:00:00+00,1719,3,Slight,NONE,Other,2,1,0,1,0,0,0,359425,168355,CYC
7922,2023/08/22 23:00:00+00,1730,2,Serious,A,Adult pedestrian,1,1,1,0,0,0,0,358441,173454,A
7923,2023/08/25 23:00:00+00,0122,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358872,172932,A
7924,2023/05/13 23:00:00+00,1500,3,Slight,NONE,Other,2,1,0,0,1,0,0,358245,171316,MCYC
7925,2023/03/16 00:00:00+00,2108,3,Slight,J2,Turning Movement from minor road,2,1,0,0,1,0,0,362113,173568,MCYC
7926,2023/06/10 23:00:00+00,1515,2,Serious,HO,Head On,2,2,0,0,0,0,1,358135,179217,CARS
7927,2023/06/16 23:00:00+00,2228,2,Serious,LC,Loss of Control,2,1,0,0,0,0,0,358731,171699,CARS
7928,2023/04/29 23:00:00+00,2258,3,Slight,J,Turning movement – unidentified priority,2,2,0,0,1,0,0,360767,173379,MCYC
7929,2023/03/20 00:00:00+00,1800,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,358506,172762,C
7930,2023/03/20 00:00:00+00,0824,3,Slight,J,Turning movement – unidentified priority,2,1,0,1,0,0,0,359572,173104,CYC
7931,2023/03/22 00:00:00+00,2037,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,361583,173520,A
7932,2023/03/23 00:00:00+00,1500,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,359874,173426,CARS
7933,2023/03/24 00:00:00+00,1045,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,1,360403,167918,CARS
7934,2023/03/26 23:00:00+00,1510,3,Slight,J,Turning movement – unidentified priority,2,1,0,0,1,0,0,354147,178171,MCYC
7935,2023/03/30 23:00:00+00,0900,2,Serious,E,Elderly pedestrian,1,1,1,0,0,0,1,359787,175738,E
7936,2023/06/29 23:00:00+00,2007,2,Serious,A,Adult pedestrian,1,1,1,0,0,0,0,358624,172460,A
7937,2023/04/01 23:00:00+00,1830,3,Slight,C,Child pedestrian,1,2,1,0,1,1,0,359139,170942,C
7938,2023/06/09 23:00:00+00,0435,3,Slight,NONE,Other,2,3,0,0,0,0,0,359044,175032,CARS
7939,2023/06/15 23:00:00+00,1445,3,Slight,J,Turning movement – unidentified priority,2,1,0,0,1,0,0,360028,171535,MCYC
7940,2023/05/25 23:00:00+00,2120,3,Slight,NONE,Other,3,1,0,0,0,0,0,356736,172037,CARS
7941,2023/05/11 23:00:00+00,1540,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,359310,173994,CYC
7942,2023/05/11 23:00:00+00,0742,3,Slight,NONE,Other,2,2,0,0,0,0,0,359768,177715,CARS
7943,2023/06/19 23:00:00+00,2045,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,361148,173032,CYC
7944,2023/05/10 23:00:00+00,1650,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,360374,171167,MCYC
7945,2023/06/21 23:00:00+00,1522,3,Slight,J,Turning movement – unidentified priority,3,2,0,0,0,0,0,362969,170065,CARS
7946,2023/06/21 23:00:00+00,1642,3,Slight,NT,Nose to Tail,6,1,0,0,1,0,0,357332,175668,MCYC
